counter,treatment,plant.no,farm,branch.code,total.berries,berry.no,mass,brix,big.seeds,med.seeds,lil.seeds
MM,D,363,Hort,NA,10,1,1.9673,11,34,40,6
MM,D,363,Hort,NA,10,2,2.0502,11,46,36,6
MM,D,363,Hort,NA,10,3,1.8139,10.5,35,46,6
MM,D,363,Hort,NA,10,4,2.1972,9,51,51,7
MM,D,363,Hort,NA,9,5,1.3333,10,39,46,6
MM,D,129,Hort,NA,3,1,0.9321,12,0,0,67
MM,D,129,Hort,NA,4,2,1.6011,12,28,28,8
MM,D,129,Hort,NA,4,3,1.7595,12,22,42,9
MM,D,129,Hort,NA,3,4,1.9052,14,20,37,6
MM,D,129,Hort,NA,1,5,0.8899,12,1,17,8
MM,D,130,Hort,NA,3,1,1.3784,14,15,49,15
MM,D,130,Hort,NA,3,2,1.8891,14,23,50,9
MM,D,130,Hort,NA,6,3,1.681,11,37,62,8
MM,D,130,Hort,NA,6,4,1.7326,11,26,30,9
MM,D,130,Hort,NA,6,5,1.8954,13,31,54,8
MM,D,365,Hort,NA,9,1,1.9317,14,11,39,10
MM,D,365,Hort,NA,9,2,1.6341,17,17,54,7
MM,D,365,Hort,NA,9,3,2.1833,17,37,38,4
MM,D,365,Hort,NA,9,4,2.5088,19,22,46,9
MM,D,365,Hort,NA,9,5,2.3815,19,27,44,7
MM,D,17,Hort,NA,4,1,1.4248,17,9,85,16
MM,D,17,Hort,NA,4,2,1.0191,12,12,54,6
MM,D,17,Hort,NA,4,3,1.4833,16,22,46,7
MM,D,17,Hort,NA,4,4,1.9356,10,33,69,3
MM,D,17,Hort,NA,4,5,1.5757,14,30,67,7
MM,D,24,Hort,NA,14,1,1.3763,14,28,64,5
MM,D,24,Hort,NA,14,2,1.2791,12,47,43,6
MM,D,24,Hort,NA,14,3,1.0418,13,12,73,8
MM,D,24,Hort,NA,10,4,1.0029,14,14,76,5
MM,D,24,Hort,NA,10,5,1.1004,16,28,59,6
MM,D,283,Hort,NA,3,1,1.5142,17,23,16,2
MM,D,283,Hort,NA,3,2,1.1641,17,11,18,14
MM,D,283,Hort,NA,1,3,0.9364,16,33,53,7
MM,D,283,Hort,NA,1,4,1.3484,14,78,9,6
MM,D,283,Hort,NA,3,5,1.4541,12,64,16,3
MM,D,52,Hort,NA,1,1,0.918,15,5,51,9
MM,D,52,Hort,NA,3,2,1.1925,13.5,0,4,46
MM,D,52,Hort,NA,3,3,0.9955,15,0,0,34
MM,D,52,Hort,NA,1,4,1.4561,18,6,33,19
MM,D,52,Hort,NA,1,5,1.1181,15,2,24,42
MM,D,6,Hort,NA,6,1,1.42,13,29,41,7
MM,D,6,Hort,NA,6,2,2.2271,14,43,36,7
MM,D,6,Hort,NA,6,3,2.3606,13,44,38,6
MM,D,6,Hort,NA,6,4,1.18,11,27,52,8
MM,D,6,Hort,NA,1,5,1.4577,17,23,47,6
MM,D,5,Hort,NA,7,1,1.5194,11,32,29,11
MM,D,5,Hort,NA,7,2,1.2342,12,17,53,9
MM,D,5,Hort,NA,7,3,1.5723,12.5,14,65,8
MM,D,5,Hort,NA,7,4,1.2144,11,6,56,10
MM,D,5,Hort,NA,7,5,1.2734,8,29,36,7
MM,E,215,Adam's,CLD,7,1,1.7329,11,40,58,11
MM,E,215,Adam's,CLD,7,2,1.1469,13,3,54,19
MM,E,215,Adam's,CLD,7,3,1.3742,12,12,77,16
MM,E,215,Adam's,CLD,4,4,1.3366,12,14,69,4
MM,E,215,Adam's,CLD,4,5,1.6824,11,18,71,10
MM,E,215,Adam's,CLA,3,1,1.2844,12.5,16,71,14
MM,E,215,Adam's,CLA,2,2,1.574,11,40,47,9
MM,E,215,Adam's,CLA,1,3,1.2666,10,25,58,9
MM,E,215,Adam's,CLA,4,4,1.5402,11,13,64,14
MM,E,215,Adam's,CLA,4,5,1.5208,11,25,68,17
MM,C,9,Charlotte,HPlA,5,1,1.7604,17,52,25,11
MM,C,9,Charlotte,HPlA,5,2,2.1885,15,49,33,6
MM,C,9,Charlotte,HPlA,7,3,1.6599,17,59,7,9
MM,C,9,Charlotte,HPlA,7,4,1.4071,14,54,7,8
MM,C,9,Charlotte,HPlA,7,5,0.9916,15,35,26,9
MM,C,9,Charlotte,ClA,4,1,1.1925,20,9,36,18
MM,C,9,Charlotte,ClA,1,2,0.7841,15,25,31,7
