Treatment,NonBuddingStems,,,,,,,
D,4,,,,,,,
D,4,,,,,,,
D,8,,,,,,,
D,16,,,,,,,
D,7,,,,,,,
D,7,,,,,,,
D,7,,,,,,,
D,10,,,,,,,
D,10,,,,,,,
D,10,,,,,,,
D,12,,,,,,,
D,15,,,,,,,
D,15,,,,,,,
D,15,,,,,,,
D,11,,,,,,,
D,11,,,,,,,
D,11,,,,,,,
D,11,,,,,,,
D,15,,,,,,,
D,15,,,,,,,
D,15,,,,,,,
D,15,,,,,,,
D,7,,,,,,,
D,7,,,,,,,
D,7,,,,,,,
D,8,,,,,,,
D,8,,,,,,,
D,8,,,,,,,
D,11,,,,,,,
D,11,,,,,,,
D,11,,,,,,,
D,19,,,,,,,
D,19,,,,,,,
D,19,,,,,,,
D,19,,,,,,,
D,22,,,,,,,
D,22,,,,,,,
D,22,,,,,,,
D,23,,,,,,,
D,23,,,,,,,
A,36,,,,,,,
A,36,,,,,,,
A,36,,,,,,,
A,15,,,,,,,
A,15,,,,,,,
A,15,,,,,,,
A,15,,,,,,,
A,15,,,,,,,
A,15,,,,,,,
A,30,,,,,,,
A,30,,,,,,,
A,30,,,,,,,
A,42,,,,,,,
A,27,,,,,,,
A,27,,,,,,,
A,27,,,,,,,
A,27,,,,,,,
A,27,,,,,,,
A,13,,,,,,,
A,13,,,,,,,
A,13,,,,,,,
A,26,,,,,,,
A,26,,,,,,,
A,26,,,,,,,
A,43,,,,,,,
A,43,,,,,,,
A,43,,,,,,,
A,43,,,,,,,
A,43,,,,,,,
A,43,,,,,,,
C,42,,,,,,,
C,42,,,,,,,
C,21,,,,,,,
C,21,,,,,,,
C,36,,,,,,,
C,23,,,,,,,
C,23,,,,,,,
C,23,,,,,,,
C,23,,,,,,,
C,23,,,,,,,
C,23,,,,,,,
C,19,,,,,,,
C,19,,,,,,,
C,36,,,,,,,
C,36,,,,,,,
C,36,,,,,,,
C,17,,,,,,,
C,17,,,,,,,
C,17,,,,,,,
C,17,,,,,,,
C,32,,,,,,,
C,32,,,,,,,
C,32,,,,,,,
A,23,,,,,,,
A,22,,,,,,,
A,22,,,,,,,
A,18,,,,,,,
A,18,,,,,,,
A,18,,,,,,,
A,18,,,,,,,
A,21,,,,,,,
A,27,,,,,,,
A,27,,,,,,,
A,27,,,,,,,
